idiom,num_contexts,contexts
Peinar la zona,0,
Pensar en las musarañas,0,
Perder aceite,0,
Perder el hilo,0,
Perder el Norte,0,
Perder el tren,0,
Perder la cabeza,0,
Perder los estribos,0,
Perder los nervios,0,
Perder los papeles,0,
Pesar como una losa,0,
Picar algo,0,
Picar la curiosidad,0,
Picar muy alto,0,
Picar piedra,0,
Pillar a alguien con las manos en la masa,0,
Pillar a alguien en un renuncio,0,
Pillar con el paso cambiado,0,
Pillar el punto,0,
Pillarse los dedos,0,
Pinchar y no sacar sangre,0,
Pintan bastos,0,
Pisar fuerte,0,
Pisar los talones,0,
Planchar la oreja,0,
Plantar cara,0,
Plantar un pino,0,
Poner a caldo,0,
Poner a parir,0,
Poner al mal tiempo buena cara,0,
Poner cara de póker,0,
Poner cara larga,0,
Poner como un trapo,0,
Poner contra las cuerdas,0,
Poner de vuelta y media,0,
Poner dientes largos,0,
Poner el carro delante de los bueyes,0,
Poner el dedo en la llaga,0,
Poner el grito en el cielo,0,
Poner el listón alto,0,
Poner en bandeja,0,
Poner en boca de alguien,0,
Poner en jaque,0,
Poner en solfa a alguien,0,
Poner en tela de juicio,0,
Poner en un brete,0,
Poner la guinda,0,
Poner la mano en el fuego,0,
Poner las cartas boca arriba,0,
Poner las cartas sobre la mesa,0,
Poner las cosas en su sitio,0,
Poner los pelos de punta,0,
Poner los puntos sobre las íes,0,
Poner palos en las ruedas,0,
Poner patas arriba,0,
Poner pies en polvorosa,0,
Poner puertas al campo,0,
Poner tierra de por medio,0,
Poner toda la carne en el asador,0,
Poner una pica en Flandes,0,
Poner una vela a Dios y otra al diablo,0,
Poner verde a alguien,0,
Ponerle el cascabel al gato,0,
Ponerse a cien,0,
Ponerse borde,0,
Ponerse ciego,0,
Ponerse como un tomate,0,
Ponerse en la piel de alguien,0,
Ponerse hecho una fiera,0,
Ponerse la carne de gallina,0,
Ponerse las pilas,0,
Ponerse los ojos como platos,0,
Ponerse manos a la obra,0,
Ponerse morado,0,
Ponerse pesado,0,
Por la boca muere el pez,0,
Predicar en el desierto,0,
Preparar el escenario,0,
Prevenir por si las moscas,0,
Prometer el oro y el moro,0,
Pudrirse entre rejas,0,
Que Dios reparta suerte,0,
Que me aspen,0,
Quedar en agua de borrajas,0,
Quedar retratado,0,
Quedar tres telediarios,0,
Quedar un culo de algo,0,
Quedarse con el culo al aire,0,
Quedarse con la boca abierta,0,
Quedarse con un palmo de narices,0,
Quedarse de piedra,0,
Quedarse en blanco,0,
Quedarse en los huesos,0,
Quedarse la sangre helada,0,
Quedarse para vestir santos,0,
Quedarse sin palabras,0,
Quedarse tieso,0,
Quemar las naves,0,
Quemar todos los cartuchos,0,
Quemarse con algo,0,
Quemarse las pestañas,0,
"Quien no corre, vuela",0,
"Quien ríe último, ríe mejor",0,
"Quien se pica, ajos come",0,
"Quien se fue a Sevilla, perdió su silla",0,
"Quien siembra vientos, recoge tempestades",0,
Quitar hierro a un asunto,0,
Quitarle leña a algo,0,
Quitarse la máscara,0,
Quitarse un peso de encima,0,
Rascarse el bolsillo,0,
Rascarse la barriga,0,
Rasgarse las vestiduras,0,
Recibir a alguien con los brazos abiertos,0,
Recoger lo que se ha sembrado,0,
Regalar los oídos,0,
Remover cielo y tierra,0,
Renacer de las cenizas,0,
Rendirse ante la evidencia,0,
Repartir leña,0,
Restar importancia,0,
Retirar la palabra,0,
Retratarse alguien,0,
Rizar el rizo,0,
Robar el corazón,0,
Romper barreras,0,
Romper el alma,0,
Romper el hielo,0,
Romper moldes,0,
Romper tu palabra,0,
